drug_name	active_ingredients
LIDOSITE TOPICAL SYSTEM KIT	EPINEPHRINE; LIDOCAINE HYDROCHLORIDE
PREVACID NAPRAPAC 250 (COPACKAGED)	LANSOPRAZOLE; NAPROXEN
PREVACID NAPRAPAC 375 (COPACKAGED)	LANSOPRAZOLE; NAPROXEN
PREVACID NAPRAPAC 500 (COPACKAGED)	LANSOPRAZOLE; NAPROXEN
SYMBYAX	FLUOXETINE HYDROCHLORIDE; OLANZAPINE
PREVANTICS SWAB	CHLORHEXIDINE GLUCONATE; ISOPROPYL ALCOHOL
PREVANTICS SWABSTICK	CHLORHEXIDINE GLUCONATE; ISOPROPYL ALCOHOL
PREVANTICS MAXI SWABSTICK	CHLORHEXIDINE GLUCONATE; ISOPROPYL ALCOHOL
BENICAR HCT	HYDROCHLOROTHIAZIDE; OLMESARTAN MEDOXOMIL
CIPRODEX	CIPROFLOXACIN; DEXAMETHASONE
CADUET	AMLODIPINE BESYLATE; ATORVASTATIN CALCIUM
SEASONALE	ETHINYL ESTRADIOL; LEVONORGESTREL
HALFLYTELY	BISACODYL; POLYETHYLENE GLYCOL 3350; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE
CHLORAPREP ONE-STEP SEPP	CHLORHEXIDINE GLUCONATE; ISOPROPYL ALCOHOL
CHLORAPREP SINGLE SWABSTICK	CHLORHEXIDINE GLUCONATE; ISOPROPYL ALCOHOL
CHLORAPREP TRIPLE SWABSTICK	CHLORHEXIDINE GLUCONATE; ISOPROPYL ALCOHOL
MUCINEX D	GUAIFENESIN; PSEUDOEPHEDRINE HYDROCHLORIDE
DURAPREP	IODINE POVACRYLEX; ISOPROPYL ALCOHOL
CHILDREN'S ADVIL ALLERGY SINUS	CHLORPHENIRAMINE MALEATE; IBUPROFEN; PSEUDOEPHEDRINE HYDROCHLORIDE
CLARINEX D 24 HOUR	DESLORATADINE; PSEUDOEPHEDRINE SULFATE
MUCINEX DM	DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN
SYNERA	LIDOCAINE; TETRACAINE
M.V.I. ADULT	ASCORBIC ACID; BIOTIN; CYANOCOBALAMIN; DEXPANTHENOL; ERGOCALCIFEROL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE HYDROCHLORIDE; RIBOFLAVIN 5'-PHOSPHATE SODIUM; THIAMINE HYDROCHLORIDE; VITAMIN A; VITAMIN E; VITAMIN K
ZEGERID	MAGNESIUM HYDROXIDE; OMEPRAZOLE; SODIUM BICARBONATE
M.V.I. ADULT (PHARMACY BULK PACKAGE)	ASCORBIC ACID; BIOTIN; CYANOCOBALAMIN; DEXPANTHENOL; ERGOCALCIFEROL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE HYDROCHLORIDE; RIBOFLAVIN 5'-PHOSPHATE SODIUM; THIAMINE HYDROCHLORIDE; VITAMIN A; VITAMIN E; VITAMIN K
INFUVITE PEDIATRIC (PHARMACY BULK PACKAGE)	ASCORBIC ACID; BIOTIN; CHOLECALCIFEROL; CYANOCOBALAMIN; DEXPANTHENOL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE; RIBOFLAVIN; THIAMINE; TOCOPHEROL ACETATE; VITAMIN A; VITAMIN K
EPZICOM	ABACAVIR;LAMIVUDINE
MENOPUR	MENOTROPINS (FSH;LH)
YAZ	DROSPIRENONE; ETHINYL ESTRADIOL
VYTORIN	EZETIMIBE; SIMVASTATIN
ORTHO TRI-CYCLEN 21	ETHINYL ESTRADIOL; NORGESTIMATE
ORTHO TRI-CYCLEN 28	ETHINYL ESTRADIOL; NORGESTIMATE
AVANDARYL	GLIMEPIRIDE; ROSIGLITAZONE MALEATE
PRISMASOL BK 0/3.5 IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; LACTIC ACID; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE
PRISMASOL BGK 2/0 IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; LACTIC ACID; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE
PRISMASOL BGK 2/3.5 IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; LACTIC ACID; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE
PRISMASOL BGK 4/2.5 IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; LACTIC ACID; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE
PRISMASOL BGK 4/0 IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; LACTIC ACID; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE
PRISMASOL BGK 0/2.5 IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; LACTIC ACID; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE
PRISMASOL BK 0/0 IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; LACTIC ACID; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE
PRISMASOL BGK 4/3.5 IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; LACTIC ACID; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE
PRISMASOL BK 4/2.5 IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; LACTIC ACID; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE
PRISMASOL B22GK 2/0 IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; LACTIC ACID; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE
PRISMASOL B22GK 4/0 IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; LACTIC ACID; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE
PRISMASOL B22GK 2/2.5 IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; LACTIC ACID; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE
PRISMASOL B22GK 4/2.5 IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; LACTIC ACID; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE
PRISMASOL BK 0/0/1.2 IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; LACTIC ACID; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE
PRISMASOL BGK 4/0/1.2 IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; LACTIC ACID; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE
ALLEGRA-D 24 HOUR ALLERGY AND CONGESTION	FEXOFENADINE HYDROCHLORIDE; PSEUDOEPHEDRINE HYDROCHLORIDE
AMLODIPINE MALEATE; BENAZEPRIL HYDROCHLORIDE	AMLODIPINE MALEATE; BENAZEPRIL HYDROCHLORIDE
PLIAGLIS	LIDOCAINE; TETRACAINE
COMBIVENT RESPIMAT	ALBUTEROL SULFATE; IPRATROPIUM BROMIDE
TRUVADA	EMTRICITABINE; TENOFOVIR DISOPROXIL FUMARATE
FOSAMAX PLUS D	ALENDRONATE SODIUM; CHOLECALCIFEROL
NOVOLOG MIX 50/50	INSULIN ASPART PROTAMINE RECOMBINANT; INSULIN ASPART RECOMBINANT
ACTONEL WITH CALCIUM (COPACKAGED)	CALCIUM CARBONATE; RISEDRONATE SODIUM
LEVOFLOXACIN	LEVOFLOXACIN; SODIUM CHLORIDE
STAVUDINE; LAMIVUDINE; NEVIRAPINE	STAVUDINE; LAMIVUDINE; NEVIRAPINE
STAVUDINE; LAMIVUDINE	STAVUDINE; LAMIVUDINE
SEASONIQUE	ETHINYL ESTRADIOL; LEVONORGESTREL
ACTOPLUS MET	METFORMIN HYDROCHLORIDE; PIOGLITAZONE HYDROCHLORIDE
TACLONEX	BETAMETHASONE DIPROPIONATE; CALCIPOTRIENE HYDRATE
STAVUDINE; LAMIVUDINE W/NEVIRAPINE	STAVUDINE; LAMIVUDINE; NEVIRAPINE
LYBREL	ETHINYL ESTRADIOL; LEVONORGESTREL
LOESTRIN 24 FE	ETHINYL ESTRADIOL; NORETHINDRONE ACETATE
DICLEGIS	DOXYLAMINE SUCCINATE; PYRIDOXINE HYDROCHLORIDE
NUEDEXTA	DEXTROMETHORPHAN HYDROBROMIDE; QUINIDINE SULFATE
MOVIPREP	ASCORBIC ACID; POLYETHYLENE GLYCOL 3350; POTASSIUM CHLORIDE; SODIUM ASCORBATE; SODIUM CHLORIDE; SODIUM SULFATE
OSMOPREP	SODIUM PHOSPHATE, DIBASIC, ANHYDROUS; SODIUM PHOSPHATE, MONOBASIC, MONOHYDRATE
NORMOCARB HF 25	MAGNESIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE
NORMOCARB HF 35	MAGNESIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE
DUETACT	GLIMEPIRIDE; PIOGLITAZONE HYDROCHLORIDE
TREXIMET	NAPROXEN SODIUM; SUMATRIPTAN SUCCINATE
SYMBICORT	BUDESONIDE; FORMOTEROL FUMARATE DIHYDRATE
ATRIPLA	EFAVIRENZ; EMTRICITABINE; TENOFOVIR DISOPROXIL FUMARATE
Lamivudine, Zidovudine, Nevirapine Tabs 150mg/300mg/200mg	LAMIVUDINE; ZIDOVUDINE; NEVIRAPINE
LAMIVUDINE; ZIDOVUDINE	LAMIVUDINE; ZIDOVUDINE
LAMIVUDINE; ZIDOVUDINE; ABACAVIR	LAMIVUDINE; ZIDOVUDINE; ABACAVIR
DUTOPROL	HYDROCHLOROTHIAZIDE; METOPROLOL SUCCINATE
LAMIVUDINE; STAVUDINE; NEVIRAPINE	LAMIVUDINE; STAVUDINE; NEVIRAPINE
LAMIVUDINE; ZIDOVUDINE; NEVIRAPINE	LAMIVUDINE; ZIDOVUDINE; NEVIRAPINE
LAMIVUDINE; STAVUDINE	LAMIVUDINE; STAVUDINE
DUODOTE	ATROPINE; PRALIDOXIME CHLORIDE
Lamivudine/Zidovudine 150 mg/300 mg Tablets Co-packaged with Nevirapine 200 mg Tablets	LAMIVUDINE; ZIDOVUDINE; NEVIRAPINE
EXFORGE	AMLODIPINE BESYLATE; VALSARTAN
ANTHELIOS 40	AVOBENZONE; ECAMSULE; OCTOCRYLENE; TITANIUM DIOXIDE
LAMIVUDINE AND ZIDOVUDINE	LAMIVUDINE; ZIDOVUDINE
ACTOPLUS MET XR	METFORMIN HYDROCHLORIDE; PIOGLITAZONE HYDROCHLORIDE
SALONPAS	MENTHOL; METHYL SALICYLATE
JANUMET	METFORMIN HYDROCHLORIDE; SITAGLIPTIN PHOSPHATE
BUPIVACAINE HYDROCHLORIDE W/EPINEPHRINE	BUPIVACAINE HYDROCHLORIDE; EPINEPHRINE BITARTRATE
LAMIVUDINE; NEVIRAPINE; ZIDOVUDINE	LAMIVUDINE; NEVIRAPINE; ZIDOVUDINE
MYDAYIS	AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE
LAMIVUDINE; ZIDOVUDINE; EFAVIRENZ	LAMIVUDINE;ZIDOVUDINE;EFAVIRENZ
STAVUDINE; LAMIVUDINE; EFAVIRENZ	STAVUDINE; LAMIVUDINE; EFAVIRENZ
AZOR	AMLODIPINE BESYLATE; OLMESARTAN MEDOXOMIL
TEKTURNA HCT	ALISKIREN HEMIFUMARATE; HYDROCHLOROTHIAZIDE
ADVIL ALLERGY AND CONGESTION RELIEF	CHLORPHENIRAMINE MALEATE; IBUPROFEN; PHENYLEPHRINE HYDROCHLORIDE
ADVIL MULTI-SYMPTOM COLD & FLU	CHLORPHENIRAMINE MALEATE; IBUPROFEN; PHENYLEPHRINE HYDROCHLORIDE
CIMDUO	LAMIVUDINE; TENOFOVIR DISOPROXIL FUMARATE
SYMFI	EFAVIRENZ; LAMIVUDINE; TENOFOVIR DISOPROXIL FUMARATE
PERTZYE	PANCRELIPASE (AMYLASE;LIPASE;PROTEASE)
NAVSTEL	CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; OXIGLUTATIONE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE; SODIUM PHOSPHATE
ZENPEP	PANCRELIPASE (AMYLASE;LIPASE;PROTEASE)
VALTURNA	ALISKIREN HEMIFUMARATE; VALSARTAN
ULTRESA	PANCRELIPASE (AMYLASE;LIPASE;PROTEASE)
DUAVEE	BAZEDOXIFENE ACETATE; ESTROGENS, CONJUGATED
NATAZIA	DIENOGEST; ESTRADIOL VALERATE
LOSEASONIQUE	ETHINYL ESTRADIOL; LEVONORGESTREL
COARTEM	ARTEMETHER; LUMEFANTRINE
HYCOFENIX	GUAIFENESIN; HYDROCODONE BITARTRATE; PSEUDOEPHEDRINE HYDROCHLORIDE
ZEGERID OTC	OMEPRAZOLE; SODIUM BICARBONATE
ATAZANAVIR SULFATE AND RITONAVIR	ATAZANAVIR SULFATE; RITONAVIR
ABACAVIR SULFATE; LAMIVUDINE	ABACAVIR SULFATE;LAMIVUDINE
EXFORGE HCT	AMLODIPINE BESYLATE; HYDROCHLOROTHIAZIDE; VALSARTAN
EPIDUO	ADAPALENE; BENZOYL PEROXIDE
EMBEDA	MORPHINE SULFATE; NALTREXONE HYDROCHLORIDE
EFAVIRENZ, LAMIVUDINE AND TENOFOVIR DISOPROXIL FUMARATE	EFAVIRENZ; LAMIVUDINE; TENOFOVIR DISOPROXIL FUMARATE
LAMIVUDINE AND TENOFOVIR DISOPROXIL FUMARATE	LAMIVUDINE; TENOFOVIR DISOPROXIL FUMARATE
LAMIVUDINE, ZIDOVUDINE TABS 150MG/300MG CO-PACKAGED WITH NEVIRAPINE TABS 200MG	LAMIVUDINE; ZIDOVUDINE; NEVIRAPINE
SUPREP BOWEL PREP KIT	MAGNESIUM SULFATE; POTASSIUM SULFATE; SODIUM SULFATE
PRANDIMET	METFORMIN HYDROCHLORIDE; REPAGLINIDE
TWYNSTA	AMLODIPINE BESYLATE; TELMISARTAN
FLOWTUSS	GUAIFENESIN; HYDROCODONE BITARTRATE
OSENI	ALOGLIPTIN BENZOATE; PIOGLITAZONE HYDROCHLORIDE
XERESE	ACYCLOVIR; HYDROCORTISONE
ZUTRIPRO	CHLORPHENIRAMINE MALEATE; HYDROCODONE BITARTRATE; PSEUDOEPHEDRINE HYDROCHLORIDE
REZIRA	HYDROCODONE BITARTRATE; PSEUDOEPHEDRINE HYDROCHLORIDE
MAGNESIUM HYDROXIDE AND OMEPRAZOLE AND SODIUM BICARBONATE	MAGNESIUM HYDROXIDE; OMEPRAZOLE; SODIUM BICARBONATE
LAMIVUDINE/TENOFOVIR DISOPROXIL FUMARATE FDC TABS	LAMIVUDINE; TENOFOVIR
JALYN	DUTASTERIDE; TAMSULOSIN HYDROCHLORIDE
ORABLOC	ARTICAINE HYDROCHLORIDE; EPINEPHRINE BITARTRATE
LAMIVUDINE AND STAVUDINE	LAMIVUDINE; STAVUDINE
LO LOESTRIN FE	ETHINYL ESTRADIOL; NORETHINDRONE ACETATE
VIMOVO	ESOMEPRAZOLE MAGNESIUM; NAPROXEN
DULERA	FORMOTEROL FUMARATE; MOMETASONE FUROATE
DUEXIS	FAMOTIDINE; IBUPROFEN
PANCREAZE	PANCRELIPASE (AMYLASE;LIPASE;PROTEASE)
BEYAZ	DROSPIRENONE; ETHINYL ESTRADIOL; LEVOMEFOLATE CALCIUM
VIOKACE	PANCRELIPASE (AMYLASE;LIPASE;PROTEASE)
TEKAMLO	ALISKIREN HEMIFUMARATE; AMLODIPINE BESYLATE
ADVIL CONGESTION RELIEF	IBUPROFEN; PHENYLEPHRINE HYDROCHLORIDE
NORETHINDRONE AND ETHINYL ESTRADIOL AND FERROUS FUMARATE	ETHINYL ESTRADIOL; NORETHINDRONE
SAFYRAL	DROSPIRENONE; ETHINYL ESTRADIOL; LEVOMEFOLATE CALCIUM
QSYMIA	PHENTERMINE HYDROCHLORIDE; TOPIRAMATE
ROXILOX	ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE
ACETIC ACID 2% IN AQUEOUS ALUMINUM ACETATE	ACETIC ACID, GLACIAL; ALUMINUM ACETATE
HYDROCODONE BITARTRATE AND ACETAMINOPHEN	ACETAMINOPHEN; HYDROCODONE BITARTRATE
ESGIC-PLUS	ACETAMINOPHEN; BUTALBITAL; CAFFEINE
HYDROCORTISONE AND ACETIC ACID	ACETIC ACID, GLACIAL; HYDROCORTISONE
ACETAMINOPHEN AND CODEINE PHOSPHATE	ACETAMINOPHEN; CODEINE PHOSPHATE
NORCO	ACETAMINOPHEN; HYDROCODONE BITARTRATE
LORTAB	ACETAMINOPHEN; HYDROCODONE BITARTRATE
OXYCODONE AND ACETAMINOPHEN	ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE
ACETAMINOPHEN, CAFFEINE, AND DIHYDROCODEINE BITARTRATE	ACETAMINOPHEN; CAFFEINE; DIHYDROCODEINE BITARTRATE
CARISOPRODOL AND ASPIRIN	ASPIRIN; CARISOPRODOL
VICODIN HP	ACETAMINOPHEN; HYDROCODONE BITARTRATE
CARISOPRODOL, ASPIRIN AND CODEINE PHOSPHATE	ASPIRIN; CARISOPRODOL; CODEINE PHOSPHATE
PROPOXYPHENE HYDROCHLORIDE AND ACETAMINOPHEN	ACETAMINOPHEN; PROPOXYPHENE HYDROCHLORIDE
PROMETHAZINE HYDROCHLORIDE AND CODEINE PHOSPHATE	CODEINE PHOSPHATE; PROMETHAZINE HYDROCHLORIDE
OXYCODONE AND ASPIRIN	ASPIRIN; OXYCODONE HYDROCHLORIDE
BUTALBITAL, ACETAMINOPHEN AND CAFFEINE	ACETAMINOPHEN; BUTALBITAL; CAFFEINE
HYDROCODONE BITARTRATE AND HOMATROPINE METHYLBROMIDE	HOMATROPINE METHYLBROMIDE; HYDROCODONE BITARTRATE
ZYDONE	ACETAMINOPHEN; HYDROCODONE BITARTRATE
HOMATROPINE METHYLBROMIDE AND HYDROCODONE BITARTRATE	HOMATROPINE METHYLBROMIDE; HYDROCODONE BITARTRATE
PERCOCET	ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE
DIPHENOXYLATE HYDROCHLORIDE AND ATROPINE SULFATE	ATROPINE SULFATE; DIPHENOXYLATE HYDROCHLORIDE
ANEXSIA 7.5/325	ACETAMINOPHEN; HYDROCODONE BITARTRATE
ANEXSIA 5/325	ACETAMINOPHEN; HYDROCODONE BITARTRATE
DEXTROAMP SACCHARATE, AMP ASPARTATE, DEXTROAMP SULFATE AND AMP SULFATE	AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE
CODRIX	ACETAMINOPHEN; CODEINE PHOSPHATE
ANEXSIA	ACETAMINOPHEN; HYDROCODONE BITARTRATE
ERGOTAMINE TARTRATE AND CAFFEINE	CAFFEINE; ERGOTAMINE TARTRATE
PROBENECID AND COLCHICINE	COLCHICINE; PROBENECID
PROMETHAZINE DM	DEXTROMETHORPHAN HYDROBROMIDE; PROMETHAZINE HYDROCHLORIDE
PROMETHAZINE WITH CODEINE	CODEINE PHOSPHATE; PROMETHAZINE HYDROCHLORIDE
PHENYLEPHRINE HYDROCHLORIDE AND PROMETHAZINE HYDROCHLORIDE	PHENYLEPHRINE HYDROCHLORIDE; PROMETHAZINE HYDROCHLORIDE
PROMETH HYDROCHLORIDE,PHENYLEPHRINE HYDROCHLORIDE W/CODEINE PHOSPHATE	CODEINE PHOSPHATE; PHENYLEPHRINE HYDROCHLORIDE; PROMETHAZINE HYDROCHLORIDE
PROMETHAZINE HYDROCHLORIDE, PHENYLEPHRINE HYDROCHLORIDE W/CODEINE PHOSPHATE	CODEINE PHOSPHATE; PHENYLEPHRINE HYDROCHLORIDE; PROMETHAZINE HYDROCHLORIDE
PROMETHAZINE HYDROCHLORIDE AND PHENYLEPHRINE HYDROCHLORIDE	PHENYLEPHRINE HYDROCHLORIDE; PROMETHAZINE HYDROCHLORIDE
MAXITROL	DEXAMETHASONE; NEOMYCIN SULFATE; POLYMYXIN B SULFATE
POLY-PRED	NEOMYCIN SULFATE; POLYMYXIN B SULFATE; PREDNISOLONE ACETATE
BICILLIN C-R	PENICILLIN G BENZATHINE; PENICILLIN G PROCAINE
BICILLIN C-R 900/300	PENICILLIN G BENZATHINE; PENICILLIN G PROCAINE
POLYSPORIN	BACITRACIN ZINC; POLYMYXIN B SULFATE
CORTISPORIN	HYDROCORTISONE; NEOMYCIN SULFATE; POLYMYXIN B SULFATE
NEOSPORIN	GRAMICIDIN; NEOMYCIN SULFATE; POLYMYXIN B SULFATE
OPHTHOCORT	CHLORAMPHENICOL; HYDROCORTISONE ACETATE; POLYMYXIN B SULFATE
CHLOROMYCETIN HYDROCORTISONE	CHLORAMPHENICOL; HYDROCORTISONE ACETATE
CHLOROMYXIN	CHLORAMPHENICOL; POLYMYXIN B SULFATE
NYSTAFORM	CLIOQUINOL; NYSTATIN
NEO-CORT-DOME	ACETIC ACID, GLACIAL; HYDROCORTISONE; NEOMYCIN SULFATE
ACHROMYCIN	PROCAINE HYDROCHLORIDE; TETRACYCLINE HYDROCHLORIDE
ELASE-CHLOROMYCETIN	CHLORAMPHENICOL; DESOXYRIBONUCLEASE; FIBRINOLYSIN
NEODECADRON	DEXAMETHASONE SODIUM PHOSPHATE; NEOMYCIN SULFATE
STATROL	NEOMYCIN SULFATE; POLYMYXIN B SULFATE
CORDRAN N	FLURANDRENOLIDE; NEOMYCIN SULFATE
COLY-MYCIN S	COLISTIN SULFATE; HYDROCORTISONE ACETATE; NEOMYCIN SULFATE; THONZONIUM BROMIDE
NEO-HYDELTRASOL	NEOMYCIN SULFATE; PREDNISOLONE SODIUM PHOSPHATE
POLYCILLIN-PRB	AMPICILLIN/AMPICILLIN TRIHYDRATE; PROBENECID
PRINCIPEN W/ PROBENECID	AMPICILLIN/AMPICILLIN TRIHYDRATE; PROBENECID
PEDIAZOLE	ERYTHROMYCIN ETHYLSUCCINATE; SULFISOXAZOLE ACETYL
BENZAMYCIN	BENZOYL PEROXIDE; ERYTHROMYCIN
AUGMENTIN '250'	AMOXICILLIN; CLAVULANATE POTASSIUM
AUGMENTIN '500'	AMOXICILLIN; CLAVULANATE POTASSIUM
POLYTRIM	POLYMYXIN B SULFATE; TRIMETHOPRIM SULFATE
AUGMENTIN '125'	AMOXICILLIN; CLAVULANATE POTASSIUM
ROCEPHIN KIT	CEFTRIAXONE SODIUM; LIDOCAINE
PRED-G	GENTAMICIN SULFATE; PREDNISOLONE ACETATE
PRIMAXIN	CILASTATIN SODIUM; IMIPENEM
TIMENTIN	CLAVULANATE POTASSIUM; TICARCILLIN DISODIUM
TOBRADEX	DEXAMETHASONE; TOBRAMYCIN
LANABIOTIC	BACITRACIN ZINC; LIDOCAINE; NEOMYCIN SULFATE; POLYMYXIN B SULFATE
ILOSONE SULFA	ERYTHROMYCIN ESTOLATE; SULFISOXAZOLE ACETYL
UNASYN	AMPICILLIN SODIUM; SULBACTAM SODIUM
TOBRASONE	FLUOROMETHOLONE ACETATE; TOBRAMYCIN
TIMENTIN IN PLASTIC CONTAINER	CLAVULANATE POTASSIUM; TICARCILLIN DISODIUM
ZOSYN	PIPERACILLIN SODIUM; TAZOBACTAM SODIUM
RIFATER	ISONIAZID; PYRAZINAMIDE; RIFAMPIN
HELIDAC	BISMUTH SUBSALICYLATE; METRONIDAZOLE; TETRACYCLINE HYDROCHLORIDE
AUGMENTIN '875'	AMOXICILLIN; CLAVULANATE POTASSIUM
AUGMENTIN '200'	AMOXICILLIN; CLAVULANATE POTASSIUM
AUGMENTIN '400'	AMOXICILLIN; CLAVULANATE POTASSIUM
DUAC	BENZOYL PEROXIDE; CLINDAMYCIN PHOSPHATE
SYNERCID	DALFOPRISTIN; QUINUPRISTIN
ZOSYN IN PLASTIC CONTAINER	PIPERACILLIN SODIUM; TAZOBACTAM SODIUM
AUGMENTIN ES-600	AMOXICILLIN; CLAVULANATE POTASSIUM
BENZACLIN	BENZOYL PEROXIDE; CLINDAMYCIN PHOSPHATE
PREVPAC	AMOXICILLIN; CLARITHROMYCIN; LANSOPRAZOLE
TROVAN/ZITHROMAX COMPLIANCE PAK	AZITHROMYCIN DIHYDRATE; TROVAFLOXACIN MESYLATE
AKTIPAK	BENZOYL PEROXIDE; ERYTHROMYCIN
AUGMENTIN XR	AMOXICILLIN; CLAVULANATE POTASSIUM
PYLERA	BISMUTH SUBCITRATE POTASSIUM; METRONIDAZOLE; TETRACYCLINE
ZIANA	CLINDAMYCIN PHOSPHATE; TRETINOIN
VELTIN	CLINDAMYCIN PHOSPHATE; TRETINOIN
ZYLET	LOTEPREDNOL ETABONATE; TOBRAMYCIN
TOBRADEX ST	DEXAMETHASONE; TOBRAMYCIN
ACANYA	BENZOYL PEROXIDE; CLINDAMYCIN PHOSPHATE
ONEXTON	BENZOYL PEROXIDE; CLINDAMYCIN PHOSPHATE
OMEPRAZOLE AND CLARITHROMYCIN AND AMOXICILLIN	AMOXICILLIN; CLARITHROMYCIN; OMEPRAZOLE
COR-OTICIN	HYDROCORTISONE ACETATE; NEOMYCIN SULFATE
TETRACYN	PROCAINE HYDROCHLORIDE; TETRACYCLINE HYDROCHLORIDE
NEO-POLYCIN	BACITRACIN ZINC; NEOMYCIN SULFATE; POLYMYXIN B SULFATE
TERRAMYCIN	LIDOCAINE HYDROCHLORIDE; OXYTETRACYCLINE
MYCOLOG-II	NYSTATIN; TRIAMCINOLONE ACETONIDE
NEO-CORTEF	HYDROCORTISONE ACETATE; NEOMYCIN SULFATE
NEO-MEDROL ACETATE	METHYLPREDNISOLONE ACETATE; NEOMYCIN SULFATE
CASPORYN HC	HYDROCORTISONE; NEOMYCIN SULFATE; POLYMYXIN B SULFATE
NEO-MEDROL	METHYLPREDNISOLONE; NEOMYCIN SULFATE
NEO-SYNALAR	FLUOCINOLONE ACETONIDE; NEOMYCIN SULFATE
NEOSPORIN G.U. IRRIGANT	NEOMYCIN SULFATE; POLYMYXIN B SULFATE
OTOCORT	HYDROCORTISONE; NEOMYCIN SULFATE; POLYMYXIN B SULFATE
BACITRACIN-NEOMYCIN-POLYMYXIN W/ HYDROCORTISONE ACETATE	BACITRACIN ZINC; HYDROCORTISONE ACETATE; NEOMYCIN SULFATE; POLYMYXIN B SULFATE
NEOMYCIN AND POLYMYXIN B SULFATES AND BACITRACIN ZINC	BACITRACIN ZINC; NEOMYCIN SULFATE; POLYMYXIN B SULFATE
TERRAMYCIN-POLYMYXIN	OXYTETRACYCLINE HYDROCHLORIDE; POLYMYXIN B SULFATE
TERRAMYCIN W/ POLYMYXIN B SULFATE	OXYTETRACYCLINE HYDROCHLORIDE; POLYMYXIN B SULFATE
TERRA-CORTRIL	HYDROCORTISONE ACETATE; OXYTETRACYCLINE HYDROCHLORIDE
NEO-DELTA-CORTEF	NEOMYCIN SULFATE; PREDNISOLONE ACETATE
MYCITRACIN	BACITRACIN; NEOMYCIN SULFATE; POLYMYXIN B SULFATE
